cty,industry,industry_naics_code,industry_employment
1067,Real estate & rental & leasing,53,46
1067,"Professional, scientific, & technical services",54,92
1067,Management of companies & enterprises,55,0
1067,Administrative & support & waste management & remediation serv,56,0
1067,Educational services,61,0
1067,Health care & social assistance,62,359
1067,"Arts, entertainment, & recreation",71,0
1067,Accommodation & foodservices,72,174
1067,Other services (except public administration),81,170
1067,Unclassified,99,0
1069,"Agriculture, forestry, fishing, & hunting",11,0
1069,Mining,21,0
1069,Utilities,22,0
1069,Construction,23,2927
1069,Manufacturing,31,7561
1069,Wholesale trade,42,2121
1069,Retail Trade,44,7589
1069,Transportation & Warehousing,48,1051
1069,Information,51,820
1069,Finance & insurance,52,1099
1069,Real estate & rental & leasing,53,504
1069,"Professional, scientific, & technical services",54,1158
1069,Management of companies & enterprises,55,1150
1069,Administrative & support & waste management & remediation serv,56,3518
1069,Educational services,61,369
1069,Health care & social assistance,62,7890
1069,"Arts, entertainment, & recreation",71,0
1069,Accommodation & foodservices,72,3645
1069,Other services (except public administration),81,2346
1069,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,306
1069,Unclassified,99,0
1071,"Agriculture, forestry, fishing, & hunting",11,58
1071,Mining,21,0
1071,Utilities,22,0
1071,Construction,23,473
1071,Manufacturing,31,6686
1071,Wholesale trade,42,530
1071,Retail Trade,44,2045
1071,Transportation & Warehousing,48,217
1071,Information,51,125
1071,Finance & insurance,52,397
1071,Real estate & rental & leasing,53,87
1071,"Professional, scientific, & technical services",54,183
1071,Management of companies & enterprises,55,30
1071,Administrative & support & waste management & remediation serv,56,216
1071,Educational services,61,8
1071,Health care & social assistance,62,1276
1071,"Arts, entertainment, & recreation",71,0
1071,Accommodation & foodservices,72,964
1071,Other services (except public administration),81,413
1071,Unclassified,99,0
1073,"Agriculture, forestry, fishing, & hunting",11,0
1073,Mining,21,1862
1073,Utilities,22,0
1073,Construction,23,28124
1073,Manufacturing,31,34876
1073,Wholesale trade,42,22864
1073,Retail Trade,44,42817
1073,Transportation & Warehousing,48,11347
1073,Information,51,11460
1073,Finance & insurance,52,28194
1073,Real estate & rental & leasing,53,6611
1073,"Professional, scientific, & technical services",54,19012
1073,Management of companies & enterprises,55,8321
1073,Administrative & support & waste management & remediation serv,56,30244
1073,Educational services,61,5376
1073,Health care & social assistance,62,50970
